"","ResponseId","involvement","primary_org","org_type_assigned","tasks","sector","scale","scale_location","land_use","years","concern_25_slr","concern_25_heat","concern_25_flood","concern_25_drought","concern_25_fire","concern_25_smoke","concern_25_aq","concern_25_wq","concern_2100_slr","concern_2100_heat","concern_2100_flood","concern_2100_drought","concern_2100_fire","concern_2100_smoke","concern_2100_aq","concern_2100_wq","top_sector","app","collab_acts","barriers","str_fl1","str_fl2","str_fl3","str_fl4","str_fl5","str_fl6","str_fl_o","str_eco1","str_eco2","str_eco3","str_eco4","str_eco_o","str_ag1","str_ag2","str_ag3","str_ag4","str_ag_o","str_ws1","str_ws2","str_ws3","str_ws4","str_ws5","str_ws_o","funding_fed","funding_state","funding_reg","funding_local","funding_phil","funding_dist","funding_tax","funding_o","forum_art","forum_baycan","forum_crc","forum_da","forum_sfep","forum_ccccl","forum_ccse","forum_sccc","forum_rpp","forum_sr","forum_sjrcc","forum_sbrr","forum_yccac","forum_ycrrc","forum_ryc","forum_involvement_o","forum_rank_art","forum_rank_baycan","forum_rank_crc","forum_rank_da","forum_rank_sfep","forum_rank_ccccl","forum_rank_ccse","forum_rank_sccc","forum_rank_rpp","forum_rank_sr","forum_rank_sjrcc","forum_rank_sbrr","forum_rank_yccac","forum_rank_ycrrc","forum_rank_ryc","forum_rank_o","forum1_learn_art","forum1_learn_baycan","forum1_learn_crc","forum1_learn_da","forum1_learn_sfep","forum1_learn_ccccl","forum1_learn_ccse","forum1_learn_sccc","forum1_learn_rpp","forum1_learn_sr","forum1_learn_sjrcc","forum1_learn_sbrr","forum1_learn_yccac","forum1_learn_ycrrc","forum1_learn_ryc","forum_learn_o","forum2_action_art","forum2_action_baycan","forum2_action_crc","forum2_action_da","forum2_action_sfep","forum2_action_ccccl","forum2_action_ccse","forum2_action_sccc","forum2_action_rpp","forum2_action_sr","forum2_action_sjrcc","forum2_action_sbrr","forum2_action_yccac","forum2_action_ycrrc","forum2_action_ryc","forum_action_o","forum_sat_1","forum_sat_2","forum_sat_3","forum_sat_4","forum_sat_5","forum_sat_6","forum_sat_7","forum_sat_8","forum_sat_9","forum_sat_10","forum_sat_11","forum_pa_1","forum_pa_2","forum_pa_3","forum_pa_4","forum_pa_5","forum_pa_6","forum_pa_7","forum_pa_8","missing_collab","missing_org_name._1","missing_org_name._2","missing_org_name._3","missing_org_name._4","missing_org_name._5"
"1","R_11XHNEyJw32ht7Z","A major aspect of my work for more than 5 years","California Releaf","cbo_ngo","Executive management 
(i.e. top management); Government relations; Project or program management; Advocacy; Community leadership","Agriculture; Environmental justice; Public health; Community development; Ecosystem management","State",NA,"Urban",6,"Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Environmental justice 
communities; Public health; Biodiversity","Identify how climate change will impact the natural/built environment; Participate in adaptation “visioning” exercises (e.g., identifying the goals of climate adaptation); Develop potential adaptation options; Analyze adaptation options’ ability to address climate impacts of concern; Select the best adaptation options to implement; Implement chosen adaptation solutions; Monitor the effects of different adaptation solutions; Analyze and synthesize data to evaluate the adaptation solutions; Engage with groups impacted by adaptation efforts; Communicate climate risks and adaptation opportunities","Implementing projects jointly with other organizations; Signing a formal agreement with another organization; Carrying out research projects jointly with other organizations; Carrying out advocacy activities jointly with other organizations; Sharing information with other organizations; Training personnel from other organizations; Outreach activities regarding new adaptation-related projects jointly with other organizations; Engaging in joint planning with other organizations; Streamlining permitting applications jointly with other organizations; Organizing public meetings jointly with other organizations; Preparing grant/funding proposals jointly with other organizations; Joining or supporting litigation or other judicial processes","Permitting obstacles; Limited capacity to acquire funding; Insufficient financial resources","Medium priority","High priority","High priority","High priority","High priority","High priority",NA,"High priority","High priority","High priority","High priority",NA,"High priority","High priority","High priority","High priority",NA,"Medium priority","High priority","High priority","High priority","Medium priority",NA,"Increase a large amount","Increase a moderate amount","Increase a large amount","Increase a large amount","Increase a large amount","Increase a moderate amount","No increase/Stay the same",NA,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Alliance of Regional Collaboratives for Climate Adaptation; Natural Working Lands Coalition; Climate Plan Policy Work Group; Climate Bond Coalition",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","","","","",""
"2","R_11a5mWgAn1n4EqC","A major aspect of my work for more than 5 years","Downey Brand Llp","service_provider","Policy advising/analysis; Technical advising/analysis; Government relations; Advocacy","Agriculture; Economic development; Energy; Emergency management; Water supply; Flood management","Multiple",NA,"Rural; Suburban; Urban",8,"Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Availability of housing; Public health; Water supply reliability","Identify how climate change will impact the natural/built environment; Develop potential adaptation options; Select the best adaptation options to implement","Implementing projects jointly with other organizations; Signing a formal agreement with another organization; Sharing information with other organizations; Publishing reports or other publicly available documents jointly with other organizations; Engaging in joint planning with other organizations; Streamlining permitting applications jointly with other organizations; Organizing public meetings jointly with other organizations; Joining or supporting litigation or other judicial processes","Permitting obstacles; Competing visions for adaptation pathways",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","",""
"3","R_11nPqQamhExfEwR","A major aspect of my work for more than 5 years","University Of California Berkeley","ecr","Executive management 
(i.e. top management); Scientific research","Agriculture; Ecosystem management","Region","Region 3","Rural",17,"Moderately concerned","Moderately concerned","Somewhat concerned","Moderately concerned","Not at all concerned","Not at all concerned","Somewhat concerned","Somewhat concerned","Very concerned","Very concerned","Moderately concerned","Very concerned","Not at all concerned","Not at all concerned","Somewhat concerned","Somewhat concerned","Agricultural industry; Flood management; Water supply reliability","Identify how climate change will impact the natural/built environment; Select the best adaptation options to implement; Monitor the effects of different adaptation solutions; Communicate climate risks and adaptation opportunities","Carrying out research projects jointly with other organizations; Publishing reports or other publicly available documents jointly with other organizations; Outreach activities regarding new adaptation-related projects jointly with other organizations; Preparing grant/funding proposals jointly with other organizations","Limited capacity to acquire funding; Insufficient financial resources","High priority","High priority","High priority","High priority","Medium priority","Medium priority",NA,"High priority","Medium priority","High priority","Low priority",NA,NA,NA,NA,NA,NA,"High priority","Medium priority","High priority","High priority","High priority",NA,"Increase a moderate amount","Increase a moderate amount","No opinion","No opinion","No opinion","No opinion","No opinion",NA,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","San Francisco Estuary Partnership",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1: San Francisco Bay Estuary Institute",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat effective",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Agree","Very satisfied","Very satisfied","Very satisfied","I'm not sure","Neutral","I'm not sure","Very satisfied","Very satisfied","I'm not sure","I'm not sure","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Yes ","Google","","","",""
"4","R_11pIdAEKUhVHI4R","A part of my work, with occasional involvement","Solano County","local_gov","Executive management 
(i.e. top management); Policy advising/analysis; Technical advising/analysis; Planning and design; Government relations; Project or program management; Outreach or communication; Community leadership","Agriculture; Economic development; Public health; Emergency management; Agriculture","County","Solano","Rural",5,"Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Transportation infrastructure; Economic growth; Agricultural industry","Participate in adaptation “visioning” exercises (e.g., identifying the goals of climate adaptation); Analyze adaptation options’ ability to address climate impacts of concern; Select the best adaptation options to implement; Implement chosen adaptation solutions; Monitor the effects of different adaptation solutions; Engage with groups impacted by adaptation efforts",NA,"Adaptation is not my organization’s main focus","Medium priority","High priority","Medium priority","High priority","High priority","High priority",NA,"Medium priority","Medium priority","Medium priority","Medium priority",NA,"High priority","High priority","High priority","Medium priority",NA,"High priority","High priority","Medium priority","Medium priority","Medium priority",NA,"No opinion","No opinion","No opinion","No opinion","No opinion",NA,NA,NA,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","","","","",""
"5","R_11tD9p0hVPHAuRm","A part of my work, with occasional involvement","Federal Energy Regulatory Commission","fed_gov",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","",""
"6","R_13WtbTuh4f0lusZ","A part of my work, with routine involvement","Bay Conservation And Development Commission","state_gov","Policy advising/analysis; Technical advising/analysis; Planning and design","Ecosystem management; Flood management","Region","Region 2; Region 3","Rural; Suburban; Urban",6,"Very concerned","Unsure","Very concerned","Unsure","Unsure","Unsure","Unsure","Unsure","Very concerned","Unsure","Very concerned","Unsure","Unsure","Unsure","Unsure","Unsure","Ecosystem health; Environmental justice 
communities; Flood management","Develop models/data about how the local climate will change; Identify how climate change will impact the natural/built environment; Communicate climate risks and adaptation opportunities","Carrying out research projects jointly with other organizations; Sharing information with other organizations; Publishing reports or other publicly available documents jointly with other organizations; Outreach activities regarding new adaptation-related projects jointly with other organizations; Engaging in joint planning with other organizations; Organizing public meetings jointly with other organizations","Limited authority; Limited capacity for community engagement; Insufficient financial resources","High priority","Medium priority","High priority","High priority","Medium priority","High priority",NA,"High priority","No opinion","High priority","No opinion",NA,"No opinion","No opinion","No opinion","High priority",NA,"High priority","No opinion","No opinion","High priority",NA,NA,"Increase a large amount","Increase a large amount","Increase a moderate amount","Increase a moderate amount","Increase a moderate amount","Increase a moderate amount","Increase a small amount",NA,"Yes","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No",NA,1,2,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very effective","Very effective",NA,"Very effective",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Agree","Agree",NA,"Agree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat satisfied","Neutral","Neutral","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Neutral","Somewhat satisfied","Somewhat satisfied","Neutral","Somewhat satisfied","I'm not sure","I'm not sure","I'm not sure","I'm not sure","I'm not sure","I'm not sure","I'm not sure","I'm not sure","Yes ","Google","","","",""
"7","R_15mbg3w4GjMLoqZ","A part of my work, with occasional involvement","Metropolitan Transportation Commission","reg_gov","Policy advising/analysis; Technical advising/analysis; Planning and design; Project or program management",NA,"Region","Region 2; Region 3","Rural; Suburban; Urban",5,"Very concerned","Moderately concerned","Very concerned","Very concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Somewhat concerned","Somewhat concerned","Moderately concerned","Very concerned","Ecosystem health; Public health; Flood management","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","",""
"8","R_17IjGJTHuz0GWul","A major aspect of my work for 1-5 years","Public Health Advocates","cbo_ngo","Policy advising/analysis; Planning and design; Project or program management; Advocacy; Outreach or communication; Community leadership","Environmental justice; Public health; Community development","County","San Joaquin","Rural; Suburban; Urban",3,"Very concerned","Very concerned","Very concerned","Very concerned","Somewhat concerned","Moderately concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Moderately concerned","Very concerned","Very concerned","Very concerned","Transportation infrastructure; Environmental justice 
communities; Availability of housing","Develop models/data about how the local climate will change; Identify how climate change will impact the natural/built environment; Participate in adaptation “visioning” exercises (e.g., identifying the goals of climate adaptation); Develop potential adaptation options; Analyze adaptation options’ ability to address climate impacts of concern; Select the best adaptation options to implement; Engage with groups impacted by adaptation efforts; Communicate climate risks and adaptation opportunities","Signing a formal agreement with another organization; Carrying out advocacy activities jointly with other organizations; Sharing information with other organizations; Outreach activities regarding new adaptation-related projects jointly with other organizations; Engaging in joint planning with other organizations; Sharing personnel with other organizations; Organizing public meetings jointly with other organizations; Preparing grant/funding proposals jointly with other organizations","Lack of effective collaboration among interested parties; Lack of political leadership; Limited capacity for community engagement","High priority","High priority","High priority","High priority","Medium priority","High priority",NA,"High priority","High priority","High priority","High priority",NA,"High priority","High priority","High priority","High priority",NA,"High priority","High priority","High priority","High priority","High priority",NA,"Increase a large amount","Increase a large amount","Increase a large amount","Increase a large amount","Increase a large amount","Increase a large amount","Increase a large amount",NA,"No","No","No","No","No","No","No","No","No","Yes","Yes","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very effective","Somewhat effective",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Strongly Agree","Agree",NA,NA,NA,NA,NA,"Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Very satisfied","Somewhat satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Very satisfied","Somewhat satisfied","Very satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Very satisfied","Very satisfied","Yes ","Amelia Ann Adams Whole Life Center","Reinvent South Stockton Coalition","El Concilio","Restore the Delta",""
"9","R_19fYnss2aPcdYMU","A part of my work, with routine involvement","Caltrans","state_gov","Project or program management","Transportation","Region","Region 3; Region 4","Rural; Suburban; Urban",NA,"Very concerned","Very concerned","Very concerned","Very concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Moderately concerned","Very concerned","Very concerned","Very concerned","Moderately concerned","Moderately concerned","Moderately concerned","Moderately concerned","Moderately concerned","Transportation infrastructure; Environmental justice 
communities; Biodiversity","Identify how climate change will impact the natural/built environment; Develop potential adaptation options; Analyze adaptation options’ ability to address climate impacts of concern; Select the best adaptation options to implement; Implement chosen adaptation solutions; Monitor the effects of different adaptation solutions; Analyze and synthesize data to evaluate the adaptation solutions; Engage with groups impacted by adaptation efforts; Communicate climate risks and adaptation opportunities","; Nothing","Lack of agreement about the future extent of climate impacts; Insufficient financial resources","High priority","High priority","Medium priority","High priority","Medium priority","High priority",NA,"No opinion","No opinion","High priority","No opinion",NA,"No opinion","No opinion","No opinion","No opinion",NA,"No opinion","No opinion","High priority","High priority","No opinion",NA,"No opinion","No opinion","No opinion","No opinion","No opinion","No opinion","No opinion",NA,"No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat effective",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat agree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I'm not sure","I'm not sure","I'm not sure","I'm not sure","I'm not sure","I'm not sure","I'm not sure","I'm not sure","I'm not sure","I'm not sure","I'm not sure","I'm not sure","I'm not sure","I'm not sure","I'm not sure","I'm not sure","I'm not sure","I'm not sure","I'm not sure","Yes ","regional climate collaborative","delta stewardship council","","",""
"10","R_1CMgKOYj5nRIydj","A major aspect of my work for less than a year","North San Joaquin Water Conservation District","water_sd","Executive management 
(i.e. top management); Policy advising/analysis; Technical advising/analysis; Government relations; Project or program management; Advocacy; Outreach or communication; Community leadership; Service provision","Agriculture; Economic development; Ecosystem management; Water supply","Region","Region 3; Region 4","Rural",1,"Moderately concerned","Moderately concerned","Moderately concerned","Very concerned","Moderately concerned","Very concerned","Very concerned","Moderately concerned","Very concerned","Very concerned","Moderately concerned","Very concerned","Moderately concerned","Very concerned","Very concerned","Very concerned","Public health; Agricultural industry; Water supply reliability","Identify how climate change will impact the natural/built environment; Develop potential adaptation options; Analyze adaptation options’ ability to address climate impacts of concern; Select the best adaptation options to implement; Implement chosen adaptation solutions; Monitor the effects of different adaptation solutions; Analyze and synthesize data to evaluate the adaptation solutions; Engage with groups impacted by adaptation efforts; Communicate climate risks and adaptation opportunities","Implementing projects jointly with other organizations; Signing a formal agreement with another organization; Carrying out advocacy activities jointly with other organizations; Sharing information with other organizations; Outreach activities regarding new adaptation-related projects jointly with other organizations; Engaging in joint planning with other organizations; Organizing public meetings jointly with other organizations; Preparing grant/funding proposals jointly with other organizations; Joining or supporting litigation or other judicial processes","Permitting obstacles; Competing visions for adaptation pathways; Insufficient financial resources","Medium priority","Medium priority","High priority","Medium priority","High priority","High priority","High priority: Expand floodwater sourced groundwater storage ","Medium priority","Medium priority","Medium priority","Medium priority",NA,"High priority","High priority","High priority","High priority","High priority: Convert groundwater reliant farms to surface water","High priority","High priority","High priority","High priority","High priority",NA,"Increase a large amount","Increase a large amount","Increase a moderate amount","Increase a small amount","Increase a large amount","Increase a moderate amount","No opinion","Increase a moderate amount: Groundwater pumping charge","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Eastern San Joaquin Groundwater Authority",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1: Conversion of farmland to surface water",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very effective: Conversion to surface water ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Strongly Agree: Conversion to surface water ","Somewhat satisfied","Very satisfied","Somewhat satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat dissatisfied","Somewhat dissatisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Yes ","","","","",""
