"","ResponseId","involve","org","org_type","tasks","location","concernShort","concernLong","top_sector","collabActivities","barriers","forum_art","forum_baycan","forum_crc","forum_da","forum_sfep","forum_ccccl","forum_ccse","forum_sccc","forum_rpp","forum_sr","forum_sjrcc","forum_sbrr","forum_yccac","forum_ycrrc","forum_ryc","forum_other","forumProgress_art","forumProgress_baycan","forumProgress_crc","forumProgress_da","forumProgress_sfep","forumProgress_ccccl","forumProgress_ccse","forumProgress_sccc","forumProgress_rpp","forumProgress_sr","forumProgress_sjrcc","forumProgress_sbrr","forumProgress_yccac","forumProgress_ycrrc","forumProgress_ryc","forumProgress_other","collaboratorsFed","collaboratorsState","collaboratorsLocalRegional","collaboratorsNGO","missing_collaborators"
"1","R_11XHNEyJw32ht7Z","A major aspect of my work for more than 5 years","california releaf","No-profit organization/Non-governmental organization/Community-based organization","Executive management 
(i.e. top management); Government relations; Project or program management; Advocacy; Community leadership",NA,"Very concerned","Very concerned","Environmental justice 
communities; Public health; Biodiversity","Implementing projects jointly with other organizations; Signing a formal agreement with another organization; Carrying out research projects jointly with other organizations; Carrying out advocacy activities jointly with other organizations; Sharing information with other organizations; Training personnel from other organizations; Outreach activities regarding new adaptation-related projects jointly with other organizations; Engaging in joint planning with other organizations; Streamlining permitting applications jointly with other organizations; Organizing public meetings jointly with other organizations; Preparing grant/funding proposals jointly with other organizations; Joining or supporting litigation or other judicial processes","Permitting obstacles; Limited capacity to acquire funding; Insufficient financial resources","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Alliance of Regional Collaboratives for Climate Adaptation; Natural Working Lands Coalition; Climate Plan Policy Work Group; Climate Bond Coalition",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States Forest Service","California Natural Resources Agency; California Department Of Forestry And Fire Protection; State Water Resources Control Board; Strategic Growth Council","Regional Water Authority; City Of Sacramento","86 Orgs In Our Network; Climate Resolve; Climate Plan; Civicwell; West Coast Arborists; The Davey Tree Expert Company; California Polytechnic State University",NA
"2","R_11a5mWgAn1n4EqC","A major aspect of my work for more than 5 years","downey brand llp","Service Provider","Policy advising/analysis; Technical advising/analysis; Government relations; Advocacy",NA,"Very concerned","Very concerned","Availability of housing; Public health; Water supply reliability","Implementing projects jointly with other organizations; Signing a formal agreement with another organization; Sharing information with other organizations; Publishing reports or other publicly available documents jointly with other organizations; Engaging in joint planning with other organizations; Streamlining permitting applications jointly with other organizations; Organizing public meetings jointly with other organizations; Joining or supporting litigation or other judicial processes","Permitting obstacles; Competing visions for adaptation pathways",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","R_11nPqQamhExfEwR","A major aspect of my work for more than 5 years","university of california berkeley","Education/Consulting/Research","Executive management 
(i.e. top management); Scientific research","Region 3","Moderately concerned","Very concerned","Agricultural industry; Flood management; Water supply reliability","Carrying out research projects jointly with other organizations; Publishing reports or other publicly available documents jointly with other organizations; Outreach activities regarding new adaptation-related projects jointly with other organizations; Preparing grant/funding proposals jointly with other organizations","Limited capacity to acquire funding; Insufficient financial resources","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","San Francisco Estuary Partnership",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Agree","United States Department Of Energy; National Aeronautics And Space Administration; National Institute Of Food And Agriculture","Delta Stewardship Council; California Department Of Water Resources",NA,"Ducks Unlimited; Hydrofocus, Inc.; California State University East Bay; University Of California Santa Cruz; Lawrence Berkeley National Laboratory","Google"
"4","R_11pIdAEKUhVHI4R","A part of my work, with occasional involvement","solano county","Local government (cities, counties)","Executive management 
(i.e. top management); Policy advising/analysis; Technical advising/analysis; Planning and design; Government relations; Project or program management; Outreach or communication; Community leadership","Solano","Very concerned","Very concerned","Transportation infrastructure; Economic growth; Agricultural industry",NA,"Adaptation is not my organization’s main focus","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","R_11tD9p0hVPHAuRm","A part of my work, with occasional involvement","federal energy regulatory commission","Federal government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","R_13WtbTuh4f0lusZ","A part of my work, with routine involvement","bay conservation and development commission","State government","Policy advising/analysis; Technical advising/analysis; Planning and design","Region 2; Region 3","Very concerned","Very concerned","Ecosystem health; Environmental justice 
communities; Flood management","Carrying out research projects jointly with other organizations; Sharing information with other organizations; Publishing reports or other publicly available documents jointly with other organizations; Outreach activities regarding new adaptation-related projects jointly with other organizations; Engaging in joint planning with other organizations; Organizing public meetings jointly with other organizations","Limited authority; Limited capacity for community engagement; Insufficient financial resources","Yes","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No",NA,"Agree","Agree",NA,"Agree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"National Oceanic And Atmospheric Association; United States Geological Survey; United States Army Corps Of Engineers","California Natural Resources Agency","Metropolitan Transportation Commission; City Of Alameda; City Of San Francisco; City Of San Rafael; Contra Costa County; San Mateo County; San Fransiquito Joint Powers Authority","Bay Area Regional Collaborative; San Francisco Estuary Partnership; Citizens Committee To Complete The Refuge; Sierra Club; University Of California Berkeley","Google"
"7","R_15mbg3w4GjMLoqZ","A part of my work, with occasional involvement","metropolitan transportation commission","Regional government","Policy advising/analysis; Technical advising/analysis; Planning and design; Project or program management","Region 2; Region 3","Very concerned","Very concerned","Ecosystem health; Public health; Flood management",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","R_17IjGJTHuz0GWul","A major aspect of my work for 1-5 years","public health advocates","No-profit organization/Non-governmental organization/Community-based organization","Policy advising/analysis; Planning and design; Project or program management; Advocacy; Outreach or communication; Community leadership","San Joaquin","Very concerned","Very concerned","Transportation infrastructure; Environmental justice 
communities; Availability of housing","Signing a formal agreement with another organization; Carrying out advocacy activities jointly with other organizations; Sharing information with other organizations; Outreach activities regarding new adaptation-related projects jointly with other organizations; Engaging in joint planning with other organizations; Sharing personnel with other organizations; Organizing public meetings jointly with other organizations; Preparing grant/funding proposals jointly with other organizations","Lack of effective collaboration among interested parties; Lack of political leadership; Limited capacity for community engagement","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Strongly Agree","Agree",NA,NA,NA,NA,NA,NA,"Strategic Growth Council; California Department Of Conservation","San Joaquin Council Of Governments; San Joaquin Regional Transit District; San Joaquin Council Of Governments","City Of Stockton: Office Of Environment And Sustainability; City Of Stockton: Public Works Department; Grid Alternatives; Rising Sun Center For Opportunity; Little Manila Rising; Edible Schoolyard Project; Insight Garden Project; University Of The Pacific; University Of California Los Angeles; Patricia Barrett; Reinvent South Stockton Coalition; San Joaquin Community Foundation","Amelia Ann Adams Whole Life Center; Reinvent South Stockton Coalition; El Concilio; Restore the Delta"
"9","R_19fYnss2aPcdYMU","A part of my work, with routine involvement","caltrans","State government","Project or program management","Region 3; Region 4","Very concerned","Very concerned","Transportation infrastructure; Environmental justice 
communities; Biodiversity","; Nothing","Lack of agreement about the future extent of climate impacts; Insufficient financial resources","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No",NA,NA,NA,NA,"Somewhat agree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"San Joaquin County: Department Of Public Works","regional climate collaborative; delta stewardship council"
"10","R_1CMgKOYj5nRIydj","A major aspect of my work for less than a year","north san joaquin water conservation district","Water Infrastructure Special District (e.g. irrigation district)","Executive management 
(i.e. top management); Policy advising/analysis; Technical advising/analysis; Government relations; Project or program management; Advocacy; Outreach or communication; Community leadership; Service provision","Region 3; Region 4","Moderately concerned","Very concerned","Public health; Agricultural industry; Water supply reliability","Implementing projects jointly with other organizations; Signing a formal agreement with another organization; Carrying out advocacy activities jointly with other organizations; Sharing information with other organizations; Outreach activities regarding new adaptation-related projects jointly with other organizations; Engaging in joint planning with other organizations; Organizing public meetings jointly with other organizations; Preparing grant/funding proposals jointly with other organizations; Joining or supporting litigation or other judicial processes","Permitting obstacles; Competing visions for adaptation pathways; Insufficient financial resources","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Eastern San Joaquin Groundwater Authority",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Strongly Agree: Conversion to surface water ","United States Bureau Of Reclamation; United States Army Corps Of Engineers","California Department Of Water Resources; California Department Of Fish And Wildlife; State Water Resources Control Board","San Joaquin County; Eastern San Joaquin Groundwater Authority; City Of Stockton; City Of Lodi; City Of Tracy; City Of Manteca; City Of Lathrop; Stockton East Water District; Woodbridge Irrigation District; South San Joaquin Irrigation District","Southern Sierra Miwuk Nation; San Joaquin County Farm Bureau; Calspa; Self Help Enterprises; University Of California Agriculture And Natural Resources: Cooperative Extension; University Of California Agriculture And Natural Resources: Cooperative Extension",NA
