"","ResponseId","involve","org_representation","org","org_type","title","tasks","affiliations","location","informShort","informLong","concernShort","concernLong","agree","science","info","impact","top_sector","policy","collabActivities","barriers","resources","forum_name","forummImpact_DD","forummGoals_DD","forummProgress_DD","forummFairness_DD","forummProcess_DD","forummBarriers_DD","forumImpact_RMSI","forumGoals_RMSI","forumProgress_RMSI","forumFairness_RMSI","forumProcess_RMSI","forumBarriers_RMSI","forumImpact_CSLRSP","forumGoals_CSLRSP","forumProgress_CSLRSP","forumFairness_CSLRSP","forumProcess_CSLRSP","forumBarriers_CSLRSP","forumImpact_CRHMP","forumGoals_CRHMP","forumProgress_CRHMP","forumFairness_CRHMP","forumProcess_CRHMP","forumBarriers_CRHMP","collaboratorsFed","collaboratorsState","collaboratorsLocalRegional","collaboratorsNGO","missing_collaborators"
"1","R_6XxygcaB1NZ3sE9","A part of my work, with occasional involvement","Yes, I am involved on behalf of one organization","college of charleston","education/academic institution","Professor","Executive Management","CRN",NA,"Somewhat Informed","Somewhat Informed",NA,NA,"Not Very High","Increased stakeholders’ familiarity with scientific tools,Communication of scientific results or estimates in plain, accessible language,Scientists’ participation into policy meetings/forums","Not sure what this means?","They have been felt for a while already","Transportation Infrastructure, Water Supply Infrastructure, Coastlines",NA,"Engaging in joint planning with other organizations,Sharing personnel with other organizations,Organizing public meetings jointly with other organizations","Knowledge of staff,Distrust among stakeholders,Lack of relationships with community-based organizations","Too Little","U.S. Army Corps of Engineers Charleston Peninsula Coastal Storm Risk Management Study,City of Charleston Sea-level Rise Strategy Plan (2015 or 2019),Charleston Regional Hazard Mitigation Plan",NA,NA,NA,NA,NA,NA,"5","Strongly disagree","Somewhat disagree","5","For most decisions, one group’s gain involves another group’s loss.","There is too much scientific uncertainty","5","Somewhat agree","Somewhat agree","6","For most decisions, one group’s gain involves another group’s loss.","There is too much scientific uncertainty","4","Strongly agree","Somewhat disagree","6","Although most groups can benefit from most decisions, there is conflict over who will benefit the most.","There are no identifiable barriers",NA,NA,NA,NA,NA
"2","R_3JK5IY5QYkoo54p","A part of my work, with occasional involvement","Yes, I am involved on behalf of one organization","college of charleston","education/academic institution","Assistant Internship and Communications Coordinator","Planning,Project Management,Advocacy,Outreach/Communication","yes",NA,"Well-Informed","Very Well Informed","Very Concerned","Very Concerned","Low","Communication of scientific results or estimates in plain, accessible language,Increased public availability of scientific knowledge,Availability of a source of translation of scientific knowledge into cost estimates","county report, dutch dialogues","They have been felt for a while already","Historically Underserved Communities, Public Health, Other","Focus attention on the impact of sea-level rise on historically underserved communities in the area; Promote projects aimed at accommodating sea-level rise with infrastructure; Promote projects with different or innovative design solutions","Sharing information with other organizations,Engaging in joint planning with other organizations,Implementing projects jointly with other organizations,Sharing personnel with other organizations,Carrying out research projects jointly with other organizations,Preparing grant/funding proposals jointly with other organizations,Carrying out advocacy activities jointly with other organizations","Scarce budgetary/staff resources,Uncertainty of the future extent of sea-level rise,Uncertainty about how quickly sea-level rise will happen,Lack of public support for policies addressing sea-level rise","Too Little","Other, None!",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"College of Charleston","City of Charleston","South Carolina Aquarium, CCC",NA
"3","R_bHKEIXAiJ0YIJpv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","R_116fS1FyZMvDYqg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","R_pGENQ0rNaK4fyox","A major aspect of my work for more than 5 years","Yes, I am involved on behalf of one organization","sc sea grant consortium","state government","executive direcotr","Executive Management,Planning,Scientific Research,Project Management,Outreach/Communication","yes",NA,"Well-Informed","Somewhat Informed","Concerned","Very Concerned","Not Very High","Communication of scientific results or estimates in plain, accessible language,Direct relationship with scientists working on sea-level rise,Other: increasing amount of communications from local governments to residents and visitors","I don't know, 3-4","They have been felt for a while already","Transportation Infrastructure, Historically Underserved Communities, Public Health","Create a regional sea-level rise adaptation plan for Charleston, Berkeley, and Dorchester counties; Complete vulnerability assessments for the three counties as soon as possible; Focus attention on the impact of sea-level rise on historically underserved communities in the area","Sharing information with other organizations,Engaging in joint planning with other organizations,Implementing projects jointly with other organizations,Training personnel from other organizations,Sharing personnel with other organizations,Carrying out research projects jointly with other organizations,Preparing grant/funding proposals jointly with other organizations,Organizing public meetings jointly with other organizations,Outreach activities regarding sea level rise-related projects jointly with other organizations,Publishing reports or other public available documents jointly with other organizations","Scarce budgetary/staff resources,Lack of political leadership of elected officials,Lack of public support for policies addressing sea-level rise,Lack of relationships with community-based organizations","About Right","Dutch Dialogues Report (2019),City of Charleston Sea-level Rise Strategy Plan (2015 or 2019),Other, Folly Beach Marsh Management Plan and Sea Level Rise Strategy","6",NA,NA,"5","Don't know","The initiative lacks authority to produce binding decisions",NA,NA,NA,NA,NA,NA,"7","Somewhat agree","Somewhat agree","6","Don't know","Participants do not share common views",NA,NA,NA,NA,NA,"Participants do not share common views","noaa","scsgc",NA,NA,NA
"6","R_1qUpX3di7D7vwjR","A part of my work, with occasional involvement","Yes, I am involved on behalf of one organization","davis and floyd","consulting/research","Land Planner III","Planning,Advocacy,Outreach/Communication","Isle of Palms Marina, Edisto Island land planning and drainage easements, MC Dean development ","All of Berkeley County,All of Charleston County,All of Dorchester County,Town of Moncks Corner (Berkeley County),City of Goose Creek (Berkeley County),City of Hanahan (Berkeley County),Daniel Island (Berkeley County),City of Charleston (Charleston County),Town of Mount Pleasant (Charleston County),Town of James Island (Charleston County),City of Folly Beach (Charleston County),Isle of Palms (Charleston County),Town of Kiawah Island (Charleston County),Town of Seabrook Island (Charleston County),Sullivan's Island (Charleston County),City of North Charleston (Charleston County),Ladson (Charleston County),Town of Summerville (Dorchester County),Town of Ridgeville (Dorchester County),Town of Harleyville (Dorchester County),Town of St. George (Dorchester County)","Well-Informed","Well-Informed","Concerned","Very Concerned","Not Very High","Increased public availability of scientific knowledge,Creation of a single platform of available scientific information,Update existing reports on sea-level rise for the whole tri-county area","Many. I, myself wrote my thesis about the sea-level rise threats to Savannah, so I'm constantly updating my knowledge with reports, podcasts, databases and surveys, etc.. This is incredible work you're doing! We'll have to compare theses sometime!","They have been felt for a while already","Transportation Infrastructure, Ecosystems Health, Historically Underserved Communities","Complete vulnerability assessments for the three counties as soon as possible; Focus attention on the impact of sea-level rise on historically underserved communities in the area; Establish a new regional authority to address sea-level rise in the area","Sharing information with other organizations,Engaging in joint planning with other organizations,Carrying out research projects jointly with other organizations,Organizing public meetings jointly with other organizations,Outreach activities regarding sea level rise-related projects jointly with other organizations","Scarce budgetary/staff resources,Distrust among stakeholders,Lack of political leadership of elected officials,Lack of an overarching plan,Lack of public support for policies addressing sea-level rise","Far Too Little","Dutch Dialogues Report (2019),City of Charleston Sea-level Rise Strategy Plan (2015 or 2019)","4","Strongly disagree","Somewhat agree","8","For most decisions in this initiative, most groups can benefit as long as they can develop a common policy.","Lack of resources",NA,NA,NA,NA,NA,NA,"6","Somewhat agree","Somewhat agree","6","For most decisions in this initiative, most groups can benefit as long as they can develop a common policy.","Participants do not share common views,The process is controlled by a few dominant stakeholders,The initiative lacks authority to produce binding decisions",NA,NA,NA,NA,NA,NA,"N/A","N/A","Isle of Palms, Edisto Island, Folly Beach, City of Charleston, City of North Charleston, Town of Mt Pleasant","MC Dean INC","More leadership within the Charleston area, i.e., communities willing to take charge in policy change for local development"
"7","R_V1Kw3q8halYi3Zv","A part of my work, with occasional involvement","Yes, I am involved on behalf of one organization","carolinas integrated sciences and assessments","consulting/research",NA,"Executive Management,Scientific Research,Outreach/Communication","no","All of Berkeley County,All of Charleston County,All of Dorchester County,City of Charleston (Charleston County),City of Folly Beach (Charleston County)","Very Well Informed","Very Well Informed","Very Concerned","Very Concerned","Fairly High","Update existing reports on sea-level rise for the whole tri-county area,Availability of a source of translation of scientific knowledge into cost estimates,Stakeholder agreement on the interpretation of scientific information","more than 15","They have been felt for a while already","Transportation Infrastructure, Historically Underserved Communities, Public Health","Create a regional sea-level rise adaptation plan for Charleston, Berkeley, and Dorchester counties; Complete vulnerability assessments for the three counties as soon as possible; Empower an existing regional authority to address sea-level rise in the area","Sharing information with other organizations,Implementing projects jointly with other organizations,Training personnel from other organizations,Sharing personnel with other organizations,Carrying out research projects jointly with other organizations,Preparing grant/funding proposals jointly with other organizations,Organizing public meetings jointly with other organizations,Outreach activities regarding sea level rise-related projects jointly with other organizations","Scarce budgetary/staff resources,Knowledge of staff,Lack of experience collaborating with other organizations in the tri-county area,Lack of an overarching plan,Lack of relationships with community-based organizations","About Right","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOAA, NWS","SCOR","--","--",NA
"8","R_2Cp5caraovrxiIN","A major aspect of my work for more than 5 years","Yes, I am involved on behalf of several organizations","college of charleston","education/academic institution","PRofessor of Biology","Scientific Research,Advocacy,Other: Teaching","no- all non-profit","All of Charleston County,City of Charleston (Charleston County)","Very Well Informed","Very Well Informed","Very Concerned","Very Concerned","Very Low","Communication of scientific results or estimates in plain, accessible language,Availability of a source of translation of scientific knowledge into cost estimates,Other: HIre the finest advertising companies to create an action campaign","many","They have been felt for a while already","Historically Underserved Communities, Public Health, Other","Complete vulnerability assessments for the three counties as soon as possible; Establish a new regional authority to address sea-level rise in the area; Other","Sharing information with other organizations,Engaging in joint planning with other organizations,Sharing personnel with other organizations,Preparing grant/funding proposals jointly with other organizations,Carrying out advocacy activities jointly with other organizations,Other: Sea-level Rise cannot be separated from climate change impacts such as over development, social justice, increased level of tropical diseases, etc","Scarce budgetary/staff resources,Distrust among stakeholders,Lack of political leadership of elected officials,Lack of public support for policies addressing sea-level rise,Other: Willful ignorance of elected public officials who have fonancial interests in overdevelopment","Far Too Little","Dutch Dialogues Report (2019),U.S. Army Corps of Engineers Charleston Peninsula Coastal Storm Risk Management Study,Other,Other, Charleston CIty Council meetings, Johns Island Task Force ","5","Somewhat agree","Somewhat agree","5","Although most groups can benefit from most decisions, there is conflict over who will benefit the most.","The process was controlled by a few dominant stakeholders,The initiative lacks authority to produce binding decisions,Other: DD provided an expensive photo op for Mayor and his cronies just before election day","5","Somewhat disagree","Somewhat agree","4","Although most groups can benefit from most decisions, there is conflict over who will benefit the most.","Participants do not share common views,The process is controlled by a few dominant stakeholders,Other: It is rediculous to think we can protect the peninsula from a major hurricane with a wall",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"n","Member of State legislature","n","COllege of Charleston colleagues, Johns Island Task FOrce",NA
"9","R_0H7eZLZamzLJXZD","A major aspect of my work for more than 5 years","Yes, I am involved on behalf of several organizations","lowcountry alliance for model communities","non-profit/non-governmental organization",NA,"Executive Management,Policy Analysis,Planning,Governmental Affairs,Advocacy,Outreach/Communication","Yes","City of Charleston (Charleston County),City of North Charleston (Charleston County)","Well-Informed","Well-Informed","Concerned","Concerned","Not Very High","Increased stakeholders’ familiarity with scientific tools,Creation of a single platform of available scientific information,Stakeholder agreement on the interpretation of scientific information","Three","They have been felt for a while already","Historically Underserved Communities, Affordability of Housing, Public Health","Create a regional sea-level rise adaptation plan for Charleston, Berkeley, and Dorchester counties; Complete vulnerability assessments for the three counties as soon as possible; Focus attention on the impact of sea-level rise on historically underserved communities in the area","Sharing information with other organizations,Engaging in joint planning with other organizations,Implementing projects jointly with other organizations,Carrying out research projects jointly with other organizations,Preparing grant/funding proposals jointly with other organizations,Carrying out advocacy activities jointly with other organizations","Scarce budgetary/staff resources,Distrust among stakeholders,Lack of political leadership of elected officials,Lack of relationships with community-based organizations","About Right","Dutch Dialogues Report (2019),Other, Sea Wall Discussions","5","Somewhat agree","Strongly agree","5","Don't know","The initiative lacks authority to produce binding decisions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Environmental Protection Agency ","South Carolina Department of Health and Environmental Control ","City and County Governments","Community groups and organizations ",NA
"10","R_3niSaXmg4XXhxK5","A part of my work, with routine involvement","Yes, I am involved on behalf of one organization","town of hollywood","local government","Planning Director","Executive Management,Policy Analysis,Planning,Governmental Affairs,Project Management","no","All of Berkeley County,All of Charleston County,All of Dorchester County,Town of Ravenel (Charleston County),Town of Hollywood (Charleston County),Town of Meggett (Charleston County)","Well-Informed","Well-Informed","Somewhat Concerned","Concerned","Not Very High","Increased stakeholders’ familiarity with scientific tools,Increased public availability of scientific knowledge,Update existing reports on sea-level rise for the whole tri-county area","6","By 2100","Transportation Infrastructure, Waste and Stormwater, Ecosystems Health","Create a regional sea-level rise adaptation plan for Charleston, Berkeley, and Dorchester counties; Complete vulnerability assessments for the three counties as soon as possible; Create a single information platform concerning the status of projects related to sea-level rise in the Charleston area, cost projections and scenarios","Sharing information with other organizations,Engaging in joint planning with other organizations,Implementing projects jointly with other organizations,Sharing personnel with other organizations,Organizing public meetings jointly with other organizations,Publishing reports or other public available documents jointly with other organizations","Scarce budgetary/staff resources,Distrust among stakeholders,Uncertainty of the future extent of sea-level rise,Lack of an overarching plan","About Right","U.S. Army Corps of Engineers Charleston Peninsula Coastal Storm Risk Management Study,Charleston Regional Hazard Mitigation Plan",NA,NA,NA,NA,NA,NA,"6","Somewhat disagree","Somewhat disagree","4","For most decisions, one group’s gain involves another group’s loss.","Participants do not share common views,Participants are not trustworthy,The process is controlled by a few dominant stakeholders",NA,NA,NA,NA,NA,NA,"9","Strongly agree","Somewhat agree","9","Although most groups can benefit from most decisions, there is conflict over who will benefit the most.","The time demands are too high,The process is controlled by a few dominant stakeholders","US ARMY CORPS OF ENGINEERS, HUD, RDA/","SC EMD, SC DNR, SC DHEC","BCD COG","NONE",NA
