"","ResponseId","involve","org","org_type","title","informShort","informLong","concernShort","concernLong","agree","science","impact","top_sector","policy","collabActivities","barriers","forum_1","forum_2","forum_3","forum_4","forum_5","forumImpact_1","forumImpact_2","forumImpact_3","forumImpact_4","forumImpact_5","forumGoals_1","forumGoals_2","forumGoals_3","forumGoals_4","forumGoals_5","forumProgress_1","forumProgress_2","forumProgress_3","forumProgress_4","forumProgress_5","forumFairness_1","forumFairness_2","forumFairness_3","forumFairness_4","forumFairness_5","forumProcess_1","forumProcess_2","forumProcess_3","forumProcess_4","forumProcess_5","forumBarriers_1","forumBarriers_2","forumBarriers_3","forumBarriers_4","forumBarriers_5","collaboratorsFed","collaboratorsState","collaboratorsLocalRegional","collaboratorsNGO","missing_collaborators"
"3","R_3qOJFpVDrGro6YD","A part of my work, with occasional involvement","city of portsmouth","local government","Environmental Manager","Somewhat Informed","Somewhat Informed","Somewhat Concerned","Concerned","Fairly High","Increased stakeholders’ familiarity with scientific tools (e.g. electronic simulation maps),Communication of scientific results or estimates in plain, accessible language,Scientists’ participation into policy meeting","They are starting to be felt right now","Waste and storm water infrastructure ,Coastlines ,Economic growth ","Complete vulnerability assessments for all the cities and counties as soon as possible ,Promote projects with different or innovative design solutions  ,Build a seawall, living shorelines, flood barriers, wetland restoration, and other armored solutions","Outreach activities regarding new Sea Level Rise-related projects jointly with other organizations ","Lack of experience collaborating with other organizations in the Hampton Roads area,Uncertainty about the future extent of sea level rise ,Uncertainty about how quickly sea level rise will happen ,Lack of public support for policies addressing Sea Level Rise ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ARCADIS
Wetlands Watch",NA
"4","R_2dF6S8l5b4IAi7r","A major aspect of my work for 1-5 years","old dominion university","state government","Research Professor","Well-Informed","Well-Informed","Not Concerned","Somewhat Concerned","Low","Communication of scientific results or estimates in plain, accessible language,Direct relationships with scientists working on Sea Level Rise,Increased public availability of scientific knowledge","By 2100","Commercial developments ,Disadvantaged communities ,Public health ","Complete vulnerability assessments for all the cities and counties as soon as possible ,Support local jurisdictions to respond to sea-level rise threats as they see fit ,Build a seawall, living shorelines, flood barriers, wetland restoration, and other armored solutions","Sharing information with other organizations ,Preparing grant/funding proposals jointly with other organizations ,Organizing public meetings jointly with other organizations ,Outreach activities regarding new Sea Level Rise-related projects jointly with other organizations ,Publishing reports or other publicly available documents jointly with other organizations ","Lack of experience collaborating with other organizations in the Hampton Roads area,Distrust among stakeholders ,Lack of relationships with community-based organizations ","Recover Hampton Roads","Hampton Roads Adaptation Forum","Equity in Resilience National Workshop",NA,NA,"1","7","6",NA,NA,"Strongly Agree","Strongly Agree","Strongly Agree",NA,NA,"Strongly Agree","Strongly Agree","Strongly Agree",NA,NA,"10","9","10",NA,NA,"Don't know","Don't know","Don't know",NA,NA,"The initiative lacks authority to produce binding decisions","There were no identifiable barriers","The initiative lacks authority to produce binding decisions",NA,NA,"yes","yes","yes","yes","University of Virginia"
"5","R_Ov8fDvyVf0zxfMZ","A major aspect of my work for more than 5 years","old dominion university","education/consulting/research","Professor","Very Well Informed","Very Well Informed","Concerned","Concerned","Very High","Communication of scientific results or estimates in plain, accessible language,Scientists’ participation into policy meeting,Increased funding for research practice and hirings in local government","They have been felt for a while already","Transportation infrastructure ,Coastlines ,Disadvantaged communities ","Create a regional sea-level rise adaptation plan for the Hampton Roads area ,Focus attention on the impact of sea-level rise on historically underserved communities in the area ,Support local jurisdictions to respond to sea-level rise threats as they see fit ","Sharing information with other organizations ,Engaging in joint planning with other organizations ,Implementing projects jointly with another organizations ,Training personnel from other organizations ,Carrying out research projects jointly with other organizations ,Preparing grant/funding proposals jointly with other organizations ,Organizing public meetings jointly with other organizations ,Outreach activities regarding new Sea Level Rise-related projects jointly with other organizations ,Publishing reports or other publicly available documents jointly with other organizations ,Carrying out advocacy activities jointly with other organizations ","Scarce budgetary/staff resources ,Lack of political leadership of elected officials ,Lack of an overarching plan ,Lack of relationships with community-based organizations ","Hampton Roads Adaptation Forum","Virginia Beach Sea Level Wise planning","Intergovernmental Pilot Project","Virginia Coastal Resilience Master Plan ","Norfolk Plan 2100","10","8","5","8","7","Somewhat Agree","Don't Know","Somewhat Disagree","Somewhat Disagree","Don't Know","Strongly Agree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","8","6","5","5","5","For most decisions in this initiative, most groups can benefit as long as they can develop a common policy.","Don't know","For most decisions in this initiative, most groups can benefit as long as they can develop a common policy.","For most decisions in this initiative, most groups can benefit as long as they can develop a common policy.","Don't know","The initiative lacks authority to produce binding decisions","The process was controlled by a few dominant stakeholders","Lack of resources","The process was controlled by a few dominant stakeholders","Other","FEMA, NOAA, DHS","VDEM, CZM, DCR, ","HRPDC, City of Hampton, City of Norfolk, HRSD","Virginia Coastal Policy Center, ODU Institute for Coastal Adaptation and Resilience, VIMS, Wetlands Watch, Elizabeth River Project, Lynnhaven River NOW, neighborhood civic leagues, Master Gardeners",NA
"6","R_3F416JZIgRU9inR","A major aspect of my work for more than 5 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","R_3RfYhtl0l7h5Oa5","A major aspect of my work for more than 5 years","rkandk","education/consulting/research","Project Manager","Somewhat Informed","Somewhat Informed","Concerned","Very Concerned","Low","Communication of scientific results or estimates in plain, accessible language,Increased public availability of scientific knowledge,Creation of a single platform of available scientific information","They are starting to be felt right now","Transportation infrastructure ,Coastlines ,Economic growth ","Create a regional sea-level rise adaptation plan for the Hampton Roads area ,Strengthen existing regional authority to address sea-level rise in the area,Build a seawall, living shorelines, flood barriers, wetland restoration, and other armored solutions","Sharing information with other organizations ,Implementing projects jointly with another organizations ","Lack of availability of adequate scientific information ,Lack of public support for policies addressing Sea Level Rise ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","R_2aFD6lX9pqfX7bv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","R_3hGaXTXRdm6m6ao","A major aspect of my work for more than 5 years","city of virginia beach","local government","Technical Services Program Manager","Very Well Informed","Very Well Informed","Concerned","Very Concerned","Fairly High","Communication of scientific results or estimates in plain, accessible language,Creation of a single platform of available scientific information,Availability of a source of translation of scientific knowledge into cost estimates","They are starting to be felt right now","Transportation infrastructure ,Waste and storm water infrastructure ,Economic growth ","Pass a tax measure at the local/regional/state level to address sea-level rise,Support local jurisdictions to respond to sea-level rise threats as they see fit ,Build a seawall, living shorelines, flood barriers, wetland restoration, and other armored solutions","Sharing information with other organizations ,Engaging in joint planning with other organizations ,Organizing public meetings jointly with other organizations ","Scarce budgetary/staff resources ,Distrust among stakeholders ,Permitting obstacles ,Climate science deniers ","Hampton Roads Adaptation Forum","Coastal Resilience and Adaptation Consortium","HRPDC Coastal Subcommittee and Working Group",NA,NA,"7","6","6",NA,NA,"Somewhat Agree","Somewhat Agree","Somewhat Agree",NA,NA,"Somewhat Agree","Somewhat Disagree","Somewhat Disagree",NA,NA,"6","5","7",NA,NA,NA,"Although most groups can benefit from most decisions, there is conflict over who will benefit the most.","For most decisions in this initiative, most groups can benefit as long as they can develop a common policy.",NA,NA,"The process was controlled by a few dominant stakeholders,The procedures were confusing,Lack of resources","Participants did not share common views,The process was controlled by a few dominant stakeholders,The initiative lacks authority to produce binding decisions,The procedures were confusing,Lack of resources","Participants did not share common views,The process was controlled by a few dominant stakeholders,The initiative lacks authority to produce binding decisions,The procedures were confusing,Lack of resources",NA,NA,"NOAA, US Army Corps of Engineers, USGS, US Fish and Wildlife, NFWF","DEQ, DCR, VMRC, DWR, VIMS","HRPDC","Lynnhaven River NOW, Wetlands Watch, APNEP, Back Bay Restoration Foundation",NA
"10","R_1M3vD2S5Q8c5q8K","A major aspect of my work for more than 5 years","old dominion university","state government","Director of Grounds & Landscapes","Very Well Informed","Very Well Informed","Somewhat Concerned","Concerned","Low","Communication of scientific results or estimates in plain, accessible language,Availability of a source of translation of scientific knowledge into cost estimates,Other: Increase of prescriptive solutions from science forthe residential through city levels for both policy and practice","They have been felt for a while already","Waste and storm water infrastructure ,Ecosystems health ,Economic growth ","Promote projects aimed at accommodating sea-level rise with “green” infrastructure ,Promote projects with different or innovative design solutions  ,Establish a new regional authority to address sea-level rise in the area ","Sharing information with other organizations ,Engaging in joint planning with other organizations ,Implementing projects jointly with another organizations ,Streamlining permitting applications across permitting agencies ,Training personnel from other organizations ,Sharing personnel with other organizations ,Preparing grant/funding proposals jointly with other organizations ,Outreach activities regarding new Sea Level Rise-related projects jointly with other organizations ,Publishing reports or other publicly available documents jointly with other organizations ,Signing a formal agreement with another organization  ","Lack of an overarching plan ,Other: Lack of Concern and/or awareness or direction from organizational leadership","Hampton Roads Adaptation Forum","Elizabeth River Project programs",NA,NA,NA,"1","10",NA,NA,NA,"Somewhat Agree","Strongly Agree",NA,NA,NA,"I Don't Know","Strongly Agree",NA,NA,NA,"10","10",NA,NA,NA,"Don't know","Don't know",NA,NA,NA,"There were no identifiable barriers","There were no identifiable barriers",NA,NA,NA,NA,"The VA DEQ","The City of Norfolk
Hampton Roads Regional Planning District Commission ","The Elizabeth River Project
Wetlands Watch
Friends of the Lafayette
I'm sure there are other groups I am forgetting
",NA
"11","R_2agly5fvcpMkxPy","A part of my work, with occasional involvement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","R_0ClsK1RKIAuCZup","A major aspect of my work for more than 5 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
